id;fecha_inicio;fecha_fin;lenguaje
1;2025-11-01T19:22:22;2025-11-01T09:32:45;PORTUGUES
2;2025-11-01T04:35:09;2025-11-01T11:19:22;INGLES
3;2025-11-01T18:48:18;2025-11-01T06:43:49;ESPANOL
4;2025-11-01T22:20:00;2025-11-01T15:49:29;ESPANOL
5;2025-11-01T13:43:17;2025-11-01T19:09:35;ESPANOL
6;2025-11-01T14:20:09;2025-11-01T02:22:21;INGLES
7;2025-11-01T20:56:14;2025-11-01T14:57:27;PORTUGUES
8;2025-11-01T19:23:37;2025-11-01T15:41:51;ESPANOL
9;2025-11-01T07:57:10;2025-11-01T02:10:45;PORTUGUES
10;2025-11-01T14:13:19;2025-11-01T21:22:55;ESPANOL
